Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Version,Catalog,Filename,Variant ID,Internal ID,Unique Entry ID,category
Admiral's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_0_0.png,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_0_0,0_0,6626,QPR5b8GPW4TpNDErv,photos
Admiral's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_1_0.png,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_1_0,1_0,6626,2mPFGZg5voRQPPywP,photos
Admiral's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_2_0.png,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_2_0,2_0,6626,MaYsPpzQ7goTdZxyk,photos
Admiral's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_3_0.png,White,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_3_0,3_0,6626,aLPtG7KDGZvFjs4pb,photos
Admiral's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_4_0.png,Pop,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_4_0,4_0,6626,36eafotwE2YtogcHS,photos
Admiral's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_5_0.png,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_5_0,5_0,6626,AEPKL9Ss5g9KoseEt,photos
Admiral's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_6_0.png,Silver,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_6_0,6_0,6626,t5ekqLdJHSJRhfSh5,photos
Admiral's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlBrd06_Remake_7_0.png,Gold,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_7_0,7_0,6626,mG5Qvu9ydLKh5f6zP,photos
Agent S's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_0_0.png,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlSqu05_Remake_0_0,0_0,6709,ajFvDMZMfMgAgcpk8,photos
Agent S's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_1_0.png,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlSqu05_Remake_1_0,1_0,6709,2tCrrFyttoA4LtMJi,photos
Agent S's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_2_0.png,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlSqu05_Remake_2_0,2_0,6709,k5LqupBSGSfP3Htea,photos
Agent S's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_3_0.png,White,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlSqu05_Remake_3_0,3_0,6709,d3LgDHw7Cy3XCRXYs,photos
Agent S's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_4_0.png,Pop,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlSqu05_Remake_4_0,4_0,6709,iomBsZt9QqcSzT3H7,photos
Agent S's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_5_0.png,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlSqu05_Remake_5_0,5_0,6709,K3hy4ggMxgXBMckmm,photos
Agent S's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_6_0.png,Silver,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlSqu05_Remake_6_0,6_0,6709,46s4b7pCXCjcCr7MP,photos
Agent S's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlSqu05_Remake_7_0.png,Gold,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlSqu05_Remake_7_0,7_0,6709,2jhfB8AxfCMXKRZrC,photos
Agnes's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_0_0.png,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPig17_Remake_0_0,0_0,6661,Y9TFv46iQHZu2zFZd,photos
Agnes's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_1_0.png,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPig17_Remake_1_0,1_0,6661,Jx66fd7cnM8ZWbhaJ,photos
Agnes's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_2_0.png,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPig17_Remake_2_0,2_0,6661,gXbBWYiRdoyaySYAH,photos
Agnes's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_3_0.png,White,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPig17_Remake_3_0,3_0,6661,S77GzrsKa8RNG57LK,photos
Agnes's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_4_0.png,Pop,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPig17_Remake_4_0,4_0,6661,x2cJ95t8guFyT3Rr3,photos
Agnes's photo,https://acnhcdn.com/latest/FtrIcon/BromideNpcNmlPig17_Remake_5_0.png,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,,,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlPig17_Remake_5_0,5_0,6661,AZxhvbHLYYD7XibxR,photos
